Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
XRPUSDT,I,small_cnn,5,14days,2024-12,Test,0.9883,0.9881,0.9766,0.9933,0.9957
XRPUSDT,I,small_cnn,5,14days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,small_cnn,5,21days,2024-01,Test,0.9998,0.9998,0.9996,0.9999,0.9999
XRPUSDT,I,small_cnn,5,21days,2024-04,Test,0.9997,0.9997,0.9994,0.9998,0.9998
XRPUSDT,I,small_cnn,5,21days,2024-08,Test,0.9997,0.9997,0.9994,0.9999,0.9999
XRPUSDT,I,small_cnn,5,21days,2024-11,Test,0.9973,0.997,0.9941,0.9981,0.9986
XRPUSDT,I,small_cnn,5,21days,2024-12,Test,0.9912,0.991,0.9822,0.9944,0.9963
XRPUSDT,I,small_cnn,5,21days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,small_cnn,5,28days,2024-01,Test,0.9999,0.9999,0.9998,1.0,1.0
XRPUSDT,I,small_cnn,5,28days,2024-04,Test,0.9999,0.9998,0.9997,1.0,1.0
XRPUSDT,I,small_cnn,5,28days,2024-08,Test,0.9999,0.9999,0.9998,1.0,1.0
XRPUSDT,I,small_cnn,5,28days,2024-11,Test,0.9971,0.9969,0.9939,0.9995,0.9996
XRPUSDT,I,small_cnn,5,28days,2024-12,Test,0.9946,0.9945,0.989,0.999,0.9993
XRPUSDT,I,small_cnn,5,28days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,small_cnn,5,7days,2024-01,Test,0.9998,0.9998,0.9996,1.0,1.0
XRPUSDT,I,small_cnn,5,7days,2024-04,Test,0.9998,0.9998,0.9996,1.0,1.0
XRPUSDT,I,small_cnn,5,7days,2024-08,Test,0.9993,0.9993,0.9985,1.0,1.0
XRPUSDT,I,small_cnn,5,7days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,small_cnn,5,7days,2024-12,Test,0.9893,0.9892,0.9787,0.9985,0.9989
XRPUSDT,I,small_cnn,5,7days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,15,14days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,15,14days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,15,14days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,15,14days,2024-01,Test,0.5462,0.0,0.0,0.5167,0.4677
XRPUSDT,I,edgenext,15,14days,2024-09,Train,0.5592,0.0,0.0,0.5106,0.4709
XRPUSDT,I,edgenext,15,14days,2024-04,Test,0.5445,0.0,0.0,0.6814,0.6188
XRPUSDT,I,edgenext,15,21days,2024-08,Test,0.548,0.0,0.0,0.669,0.5922
XRPUSDT,I,edgenext,15,21days,2024-01,Test,0.5518,0.0,0.0,0.6344,0.5697
XRPUSDT,I,edgenext,15,21days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,15,21days,2024-11,Test,0.5382,0.0,0.0,0.5088,0.6285
XRPUSDT,I,edgenext,15,21days,2024-04,Test,0.5391,0.0,0.0,0.5,0.7305
XRPUSDT,I,edgenext,15,21days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,15,28days,2024-08,Test,0.5496,0.0,0.0,0.6526,0.6334
XRPUSDT,I,edgenext,15,28days,2024-09,Train,0.5614,0.0,0.0,0.7413,0.6832
XRPUSDT,I,edgenext,15,28days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,15,28days,2024-04,Test,0.5407,0.0,0.0,0.6523,0.6108
XRPUSDT,I,edgenext,15,28days,2024-01,Test,0.555,0.0,0.0,0.5858,0.537
XRPUSDT,I,edgenext,15,28days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,15,7days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,15,7days,2024-04,Test,0.9998,0.9998,1.0,0.9998,0.9997
XRPUSDT,I,edgenext,15,7days,2024-08,Test,0.5368,0.0,0.0,0.7624,0.7696
XRPUSDT,I,edgenext,15,7days,2024-01,Test,0.5552,0.0,0.0,0.6741,0.6115
XRPUSDT,I,edgenext,15,7days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,15,7days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,30,14days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,30,14days,2024-04,Test,0.5444,0.0,0.0,0.5486,0.5003
XRPUSDT,I,edgenext,30,14days,2024-01,Test,0.546,0.0,0.0,0.5742,0.5593
XRPUSDT,I,edgenext,30,14days,2024-08,Test,0.5374,0.0,0.0,0.5368,0.4983
XRPUSDT,I,edgenext,30,14days,2024-12,Test,0.5023,0.0,0.0,0.6147,0.6064
XRPUSDT,I,edgenext,30,14days,2024-11,Test,0.5532,0.0,0.0,0.5606,0.5065
XRPUSDT,I,edgenext,30,21days,2024-11,Test,0.5382,0.0,0.0,0.5239,0.4856
XRPUSDT,I,edgenext,30,21days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,30,7days,2024-09,Train,0.5588,0.0,0.0,0.5692,0.5156
XRPUSDT,I,edgenext,30,7days,2024-12,Test,0.5025,0.6689,1.0,0.7147,0.6901
XRPUSDT,I,edgenext,30,7days,2024-04,Test,0.5523,0.0,0.0,0.6959,0.6423
XRPUSDT,I,edgenext,30,7days,2024-01,Test,0.5549,0.0,0.0,0.6309,0.5627
XRPUSDT,I,edgenext,30,7days,2024-08,Test,0.5371,0.0,0.0,0.5981,0.5385
XRPUSDT,I,edgenext,30,7days,2024-11,Test,0.5768,0.0,0.0,0.5136,0.4463
XRPUSDT,I,edgenext,5,14days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,5,14days,2024-04,Test,0.5446,0.0,0.0,0.7374,0.6741
XRPUSDT,I,edgenext,5,14days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,5,14days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,5,14days,2024-12,Test,0.5025,0.0,0.0,0.7367,0.7442
XRPUSDT,I,edgenext,5,14days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,5,21days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,5,21days,2024-01,Test,0.5518,0.0,0.0,0.205,0.3014
XRPUSDT,I,edgenext,5,21days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,5,21days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,5,21days,2024-11,Test,0.5382,0.0,0.0,0.7714,0.7547
XRPUSDT,I,edgenext,5,21days,2024-09,Train,0.9993,0.9993,0.9985,0.9994,0.9996
XRPUSDT,I,edgenext,5,28days,2024-11,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,5,28days,2024-01,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,5,28days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,5,28days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,5,28days,2024-12,Test,0.5074,0.0,0.0,0.7351,0.8077
XRPUSDT,I,edgenext,5,28days,2024-09,Train,0.9999,0.9998,1.0,1.0,1.0
XRPUSDT,I,edgenext,5,7days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,5,7days,2024-12,Test,1.0,1.0,1.0,1.0,1.0
XRPUSDT,I,edgenext,5,7days,2024-09,Train,1.0,1.0,1.0,1.0,1.0
