Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
ETHUSDT,I,small_cnn,5,28days,2024-02,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,small_cnn,5,28days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,small_cnn,5,28days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,small_cnn,5,28days,2024-05,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,small_cnn,5,28days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,small_cnn,5,28days,2024-06,Train,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,small_cnn,5,7days,2024-02,Test,0.9941,0.994,0.9933,0.9998,0.9998
ETHUSDT,I,small_cnn,5,7days,2024-03,Test,0.9969,0.997,0.9953,1.0,1.0
ETHUSDT,I,small_cnn,5,7days,2024-04,Test,0.9962,0.9962,0.9936,1.0,1.0
ETHUSDT,I,small_cnn,5,7days,2024-05,Test,0.996,0.996,0.9934,1.0,1.0
ETHUSDT,I,small_cnn,5,7days,2024-08,Test,0.998,0.998,0.996,1.0,1.0
ETHUSDT,I,small_cnn,5,7days,2024-06,Train,0.9984,0.9984,0.9982,1.0,1.0
ETHUSDT,I,edgenext,15,14days,2024-08,Test,0.5052,0.0,0.0,0.6129,0.5945
ETHUSDT,I,edgenext,15,14days,2024-05,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,edgenext,15,14days,2024-02,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,edgenext,15,14days,2024-06,Train,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,edgenext,15,14days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,edgenext,15,14days,2024-04,Test,0.5022,0.0,0.0,0.6493,0.6453
ETHUSDT,I,edgenext,15,21days,2024-02,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,edgenext,15,21days,2024-08,Test,0.4962,0.6633,1.0,0.6553,0.6561
ETHUSDT,I,edgenext,15,21days,2024-05,Test,0.4963,0.6633,1.0,0.8744,0.8792
ETHUSDT,I,edgenext,15,21days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,edgenext,15,21days,2024-04,Test,0.4976,0.6645,1.0,0.6285,0.7052
ETHUSDT,I,edgenext,15,21days,2024-06,Train,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,edgenext,15,28days,2024-03,Test,0.5045,0.0,0.0,0.5,0.7477
ETHUSDT,I,edgenext,15,28days,2024-05,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,edgenext,15,28days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,edgenext,15,28days,2024-02,Test,0.4994,0.6661,1.0,0.5,0.7497
ETHUSDT,I,edgenext,15,28days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,edgenext,15,28days,2024-06,Train,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,edgenext,15,7days,2024-04,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,edgenext,15,7days,2024-08,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,edgenext,15,7days,2024-03,Test,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,edgenext,15,7days,2024-05,Test,0.4983,0.6652,1.0,0.6007,0.5974
ETHUSDT,I,edgenext,15,7days,2024-06,Train,1.0,1.0,1.0,1.0,1.0
ETHUSDT,I,edgenext,15,7days,2024-02,Test,0.4889,0.6567,1.0,0.6432,0.6209
