Coin,Experiment,Model,Window_Size,Period,Month,Dataset,Accuracy,F1,Recall,AUROC,AUPRC
ETHUSDT,I,small_cnn,5,21days,2024-08,Test,0.9884,0.9884,0.9891,0.9995,0.9995
ETHUSDT,I,small_cnn,5,21days,2024-06,Train,0.9936,0.9936,0.995,0.9998,0.9998
ETHUSDT,I,small_cnn,5,28days,2024-02,Test,0.9836,0.9839,0.9708,0.9996,0.9996
ETHUSDT,I,small_cnn,5,28days,2024-03,Test,0.985,0.9849,0.9726,0.9997,0.9997
ETHUSDT,I,small_cnn,5,28days,2024-04,Test,0.984,0.9839,0.9703,0.9996,0.9997
ETHUSDT,I,small_cnn,5,28days,2024-05,Test,0.984,0.9838,0.9707,0.9996,0.9996
ETHUSDT,I,small_cnn,5,28days,2024-08,Test,0.9839,0.9836,0.9707,0.9996,0.9996
ETHUSDT,I,small_cnn,5,28days,2024-06,Train,0.9899,0.9897,0.9806,0.9999,0.9999
ETHUSDT,I,small_cnn,5,7days,2024-02,Test,0.9783,0.9788,0.9877,0.9985,0.9985
ETHUSDT,I,small_cnn,5,7days,2024-03,Test,0.9838,0.9846,0.9924,0.9992,0.9992
ETHUSDT,I,small_cnn,5,7days,2024-04,Test,0.9805,0.9806,0.989,0.9989,0.9989
ETHUSDT,I,small_cnn,5,7days,2024-05,Test,0.9808,0.9812,0.989,0.9988,0.9988
ETHUSDT,I,small_cnn,5,7days,2024-08,Test,0.982,0.9818,0.9877,0.9991,0.9991
ETHUSDT,I,small_cnn,5,7days,2024-06,Train,0.9898,0.9898,0.9946,0.9997,0.9997
ETHUSDT,I,edgenext,15,14days,2024-08,Test,0.996,0.996,0.9927,0.9999,0.9999
ETHUSDT,I,edgenext,15,14days,2024-05,Test,0.9959,0.9959,0.9931,1.0,1.0
ETHUSDT,I,edgenext,15,14days,2024-02,Test,0.9932,0.9933,0.9956,0.9999,0.9999
ETHUSDT,I,edgenext,15,14days,2024-06,Train,0.99,0.9899,0.9998,1.0,1.0
ETHUSDT,I,edgenext,15,14days,2024-03,Test,0.996,0.9962,0.9935,0.9999,0.9999
ETHUSDT,I,edgenext,15,14days,2024-04,Test,0.9964,0.9964,0.9962,1.0,1.0
ETHUSDT,I,edgenext,15,21days,2024-02,Test,0.9944,0.9945,0.9904,0.9999,1.0
ETHUSDT,I,edgenext,15,21days,2024-08,Test,0.5055,0.0,0.0,0.8513,0.891
ETHUSDT,I,edgenext,15,21days,2024-05,Test,0.9917,0.9917,0.9864,0.9999,0.9999
ETHUSDT,I,edgenext,15,21days,2024-03,Test,0.9968,0.9968,0.9986,1.0,1.0
ETHUSDT,I,edgenext,15,21days,2024-04,Test,0.9953,0.9954,0.999,0.9999,1.0
ETHUSDT,I,edgenext,15,21days,2024-06,Train,0.996,0.996,0.9939,1.0,1.0
ETHUSDT,I,edgenext,15,28days,2024-03,Test,0.9902,0.9905,1.0,1.0,1.0
ETHUSDT,I,edgenext,15,28days,2024-05,Test,0.9959,0.9959,0.9961,0.9999,0.9999
ETHUSDT,I,edgenext,15,28days,2024-08,Test,0.9918,0.9918,0.9997,1.0,1.0
ETHUSDT,I,edgenext,15,28days,2024-02,Test,0.9977,0.9978,0.9999,1.0,1.0
ETHUSDT,I,edgenext,15,28days,2024-04,Test,0.5037,0.67,1.0,0.9815,0.984
ETHUSDT,I,edgenext,15,28days,2024-06,Train,0.9978,0.9977,0.9985,1.0,1.0
ETHUSDT,I,edgenext,15,7days,2024-04,Test,0.9865,0.9868,0.9994,0.9998,0.9998
ETHUSDT,I,edgenext,15,7days,2024-08,Test,0.5308,0.0,0.0,0.8817,0.8204
ETHUSDT,I,edgenext,15,7days,2024-03,Test,0.9959,0.9962,0.9976,0.9999,0.9999
ETHUSDT,I,edgenext,15,7days,2024-05,Test,0.4941,0.0,0.0,0.5986,0.5646
ETHUSDT,I,edgenext,15,7days,2024-06,Train,0.4981,0.0,0.0,0.5523,0.5501
ETHUSDT,I,edgenext,15,7days,2024-02,Test,0.9981,0.9981,0.9979,1.0,1.0
ETHUSDT,I,edgenext,30,14days,2024-02,Test,0.5301,0.6929,1.0,0.7092,0.7505
ETHUSDT,I,edgenext,30,14days,2024-04,Test,0.9843,0.9846,0.992,0.9987,0.9986
ETHUSDT,I,edgenext,30,14days,2024-05,Test,0.4962,0.0,0.0,0.7669,0.816
ETHUSDT,I,edgenext,30,14days,2024-08,Test,0.9954,0.9953,0.9974,0.9999,0.9999
ETHUSDT,I,edgenext,30,14days,2024-03,Test,0.4844,0.0,0.0,0.6966,0.7584
ETHUSDT,I,edgenext,30,14days,2024-06,Train,0.9951,0.9951,0.9909,1.0,1.0
ETHUSDT,I,edgenext,30,21days,2024-02,Test,0.996,0.9962,0.9959,0.9999,1.0
ETHUSDT,I,edgenext,30,21days,2024-05,Test,0.511,0.6763,1.0,0.37,0.4277
ETHUSDT,I,edgenext,30,21days,2024-06,Train,0.9983,0.9983,0.9994,1.0,1.0
ETHUSDT,I,edgenext,30,21days,2024-04,Test,0.5041,0.6703,1.0,0.8293,0.7832
ETHUSDT,I,edgenext,30,21days,2024-03,Test,0.9968,0.9969,0.9973,0.9999,0.9999
ETHUSDT,I,edgenext,30,21days,2024-08,Test,0.9974,0.9974,0.999,1.0,1.0
ETHUSDT,I,edgenext,30,28days,2024-04,Test,0.5102,0.6757,1.0,0.6549,0.7788
ETHUSDT,I,edgenext,30,28days,2024-06,Train,0.9948,0.9948,0.9995,1.0,1.0
ETHUSDT,I,edgenext,30,28days,2024-08,Test,0.997,0.997,0.9973,1.0,1.0
ETHUSDT,I,edgenext,30,28days,2024-05,Test,0.5088,0.6745,1.0,0.5,0.7541
ETHUSDT,I,edgenext,30,28days,2024-02,Test,0.536,0.6979,1.0,0.3909,0.4711
ETHUSDT,I,edgenext,30,28days,2024-03,Test,0.9981,0.9981,0.9991,1.0,1.0
ETHUSDT,I,edgenext,30,7days,2024-03,Test,0.5312,0.6938,1.0,0.3594,0.4469
ETHUSDT,I,edgenext,30,7days,2024-04,Test,0.5051,0.6712,1.0,0.8949,0.9147
ETHUSDT,I,edgenext,30,7days,2024-05,Test,0.5133,0.6784,1.0,0.8019,0.853
ETHUSDT,I,edgenext,30,7days,2024-02,Test,0.5266,0.6899,1.0,0.7194,0.7858
ETHUSDT,I,edgenext,30,7days,2024-08,Test,0.528,0.0,0.0,0.9824,0.9802
ETHUSDT,I,edgenext,30,7days,2024-06,Train,0.9309,0.935,0.9619,0.9801,0.9798
ETHUSDT,I,edgenext,5,14days,2024-03,Test,0.9969,0.9969,0.995,1.0,1.0
ETHUSDT,I,edgenext,5,14days,2024-04,Test,0.9909,0.9908,0.9831,0.9999,0.9999
ETHUSDT,I,edgenext,5,14days,2024-08,Test,0.9496,0.9467,0.8988,0.9997,0.9997
ETHUSDT,I,edgenext,5,14days,2024-06,Train,0.9953,0.9953,0.9941,0.9999,0.9999
ETHUSDT,I,edgenext,5,14days,2024-05,Test,0.9878,0.9877,0.9758,1.0,1.0
ETHUSDT,I,edgenext,5,14days,2024-02,Test,0.9953,0.9955,0.999,1.0,1.0
ETHUSDT,I,edgenext,5,21days,2024-03,Test,0.9892,0.9894,1.0,0.9999,0.9999
ETHUSDT,I,edgenext,5,21days,2024-04,Test,0.5006,0.6672,1.0,0.9515,0.9457
ETHUSDT,I,edgenext,5,21days,2024-08,Test,0.9961,0.9961,0.9983,1.0,1.0
ETHUSDT,I,edgenext,5,21days,2024-02,Test,0.994,0.9942,0.9896,0.9999,0.9999
ETHUSDT,I,edgenext,5,21days,2024-05,Test,0.9958,0.9958,0.9985,1.0,1.0
ETHUSDT,I,edgenext,5,21days,2024-06,Train,0.9942,0.9942,0.9984,0.9999,0.9999
ETHUSDT,I,edgenext,5,28days,2024-03,Test,0.9964,0.9964,0.9947,1.0,1.0
ETHUSDT,I,edgenext,5,28days,2024-02,Test,0.9818,0.982,0.9648,0.9999,0.9999
ETHUSDT,I,edgenext,5,28days,2024-08,Test,0.9948,0.9948,0.9982,0.9999,0.9999
ETHUSDT,I,edgenext,5,28days,2024-04,Test,0.9959,0.996,0.998,0.9999,0.9999
ETHUSDT,I,edgenext,5,28days,2024-05,Test,0.9968,0.9969,0.9962,1.0,1.0
ETHUSDT,I,edgenext,5,28days,2024-06,Train,0.9921,0.992,0.9846,0.9999,0.9999
ETHUSDT,I,edgenext,5,7days,2024-03,Test,0.9929,0.9932,0.9947,0.9998,0.9999
ETHUSDT,I,edgenext,5,7days,2024-08,Test,0.9932,0.9931,0.9996,0.9999,0.9999
ETHUSDT,I,edgenext,5,7days,2024-04,Test,0.9896,0.9894,0.9794,0.9999,0.9999
ETHUSDT,I,edgenext,5,7days,2024-02,Test,0.9975,0.9976,0.9992,1.0,1.0
ETHUSDT,I,edgenext,5,7days,2024-05,Test,0.9903,0.9904,0.9969,0.9998,0.9998
ETHUSDT,I,edgenext,5,7days,2024-06,Train,0.4929,0.6603,1.0,0.523,0.5126
ETHUSDT,I,ghostnet,15,14days,2024-02,Test,0.9933,0.9936,0.9979,0.9999,0.9999
ETHUSDT,I,ghostnet,15,14days,2024-04,Test,0.9981,0.9981,0.9972,1.0,1.0
ETHUSDT,I,ghostnet,15,14days,2024-03,Test,0.996,0.9962,0.9982,0.9999,0.9999
ETHUSDT,I,ghostnet,15,14days,2024-08,Test,0.9857,0.9853,0.971,1.0,1.0
ETHUSDT,I,ghostnet,15,14days,2024-05,Test,0.9966,0.9966,0.9988,1.0,1.0
ETHUSDT,I,ghostnet,15,14days,2024-06,Train,0.999,0.999,0.9996,1.0,1.0
ETHUSDT,I,ghostnet,15,21days,2024-04,Test,0.9977,0.9977,0.9977,1.0,1.0
ETHUSDT,I,ghostnet,15,21days,2024-03,Test,0.9957,0.9958,0.9966,0.9999,0.9999
ETHUSDT,I,ghostnet,15,21days,2024-05,Test,0.9818,0.9822,0.9992,0.9998,0.9998
ETHUSDT,I,ghostnet,15,21days,2024-08,Test,0.9972,0.9972,0.9975,1.0,1.0
ETHUSDT,I,ghostnet,15,21days,2024-06,Train,0.9974,0.9974,0.9992,1.0,1.0
ETHUSDT,I,ghostnet,15,21days,2024-02,Test,0.9939,0.9941,0.9968,0.9999,0.9999
ETHUSDT,I,ghostnet,15,28days,2024-06,Train,0.998,0.9979,0.9982,1.0,1.0
ETHUSDT,I,ghostnet,15,28days,2024-08,Test,0.9976,0.9976,0.9973,1.0,1.0
ETHUSDT,I,ghostnet,15,28days,2024-05,Test,0.995,0.995,0.9985,1.0,1.0
ETHUSDT,I,ghostnet,15,28days,2024-02,Test,0.996,0.9961,0.9986,1.0,1.0
ETHUSDT,I,ghostnet,15,28days,2024-03,Test,0.9974,0.9975,0.9976,1.0,1.0
